indice,timestamp,regiao,consumo,capacidade,prioridade,custo
73,2026-01-04 01:00:00,Norte,340.19,800.0,3,142.88
74,2026-01-04 02:00:00,Centro-Oeste,400.18,950.0,1,168.07
75,2026-01-04 03:00:00,Sudeste,574.45,1450.0,5,241.27
76,2026-01-04 04:00:00,Sul,381.77,1050.0,3,160.34
77,2026-01-04 05:00:00,Nordeste,550.91,1200.0,4,231.38
78,2026-01-04 06:00:00,Norte,543.91,800.0,2,228.44
79,2026-01-04 07:00:00,Centro-Oeste,681.23,950.0,3,286.11
80,2026-01-04 08:00:00,Sudeste,1215.55,1450.0,5,510.53
81,2026-01-04 09:00:00,Sul,948.07,1050.0,2,398.19
82,2026-01-04 10:00:00,Nordeste,1160.72,1200.0,4,487.5
83,2026-01-04 11:00:00,Norte,823.4,800.0,1,359.07
84,2026-01-04 12:00:00,Centro-Oeste,1048.96,950.0,4,500.67
85,2026-01-04 13:00:00,Sudeste,1557.65,1450.0,5,717.81
86,2026-01-04 14:00:00,Sul,1188.24,1050.0,1,585.11
87,2026-01-04 15:00:00,Nordeste,960.37,1200.0,4,403.35
88,2026-01-04 16:00:00,Norte,671.33,800.0,4,281.96
89,2026-01-04 17:00:00,Centro-Oeste,718.26,950.0,4,301.67
90,2026-01-04 18:00:00,Sudeste,1273.5,1450.0,5,534.87
91,2026-01-04 19:00:00,Sul,916.57,1050.0,3,384.96
92,2026-01-04 20:00:00,Nordeste,1043.55,1200.0,3,438.29
93,2026-01-04 21:00:00,Norte,563.55,800.0,2,236.69
94,2026-01-04 22:00:00,Centro-Oeste,558.24,950.0,3,234.46
95,2026-01-04 23:00:00,Sudeste,773.43,1450.0,5,324.84
96,2026-01-05 00:00:00,Sul,536.2,1050.0,1,225.2
97,2026-01-05 01:00:00,Nordeste,573.75,1200.0,1,240.97
98,2026-01-05 02:00:00,Norte,319.77,800.0,3,134.3
99,2026-01-05 03:00:00,Centro-Oeste,375.63,950.0,4,157.76
100,2026-01-05 04:00:00,Sudeste,552.91,1450.0,5,232.22
101,2026-01-05 05:00:00,Sul,439.92,1050.0,2,184.76
102,2026-01-05 06:00:00,Nordeste,629.65,1200.0,1,264.45
103,2026-01-05 07:00:00,Norte,408.21,800.0,1,171.45
104,2026-01-05 08:00:00,Centro-Oeste,565.37,950.0,3,237.45
105,2026-01-05 09:00:00,Sudeste,982.01,1450.0,5,412.44
106,2026-01-05 10:00:00,Sul,708.55,1050.0,2,297.59
107,2026-01-05 11:00:00,Nordeste,872.49,1200.0,1,366.44
108,2026-01-05 12:00:00,Norte,626.85,800.0,2,263.28
109,2026-01-05 13:00:00,Centro-Oeste,756.24,950.0,4,317.62
110,2026-01-05 14:00:00,Sudeste,1053.66,1450.0,5,442.54
111,2026-01-05 15:00:00,Sul,852.68,1050.0,3,358.13
112,2026-01-05 16:00:00,Nordeste,897.2,1200.0,3,376.83
113,2026-01-05 17:00:00,Norte,674.33,800.0,4,283.22
114,2026-01-05 18:00:00,Centro-Oeste,792.27,950.0,3,332.75
115,2026-01-05 19:00:00,Sudeste,1213.91,1450.0,5,509.84
116,2026-01-05 20:00:00,Sul,827.54,1050.0,4,347.57
117,2026-01-05 21:00:00,Nordeste,972.83,1200.0,1,408.59
118,2026-01-05 22:00:00,Norte,522.29,800.0,3,219.36
119,2026-01-05 23:00:00,Centro-Oeste,521.37,950.0,4,218.97
120,2026-01-06 00:00:00,Sudeste,757.97,1450.0,5,318.35
121,2026-01-06 01:00:00,Sul,498.6,1050.0,3,209.41
122,2026-01-06 02:00:00,Nordeste,486.55,1200.0,1,204.35
123,2026-01-06 03:00:00,Norte,335.12,800.0,4,140.75
124,2026-01-06 04:00:00,Centro-Oeste,372.26,950.0,3,156.35
125,2026-01-06 05:00:00,Sudeste,666.66,1450.0,5,280.0
126,2026-01-06 06:00:00,Sul,483.28,1050.0,4,202.98
127,2026-01-06 07:00:00,Nordeste,637.6,1200.0,2,267.79
128,2026-01-06 08:00:00,Norte,466.38,800.0,3,195.88
129,2026-01-06 09:00:00,Centro-Oeste,638.62,950.0,2,268.22
130,2026-01-06 10:00:00,Sudeste,942.42,1450.0,5,395.82
131,2026-01-06 11:00:00,Sul,809.43,1050.0,3,339.96
132,2026-01-06 12:00:00,Nordeste,977.52,1200.0,3,410.56
133,2026-01-06 13:00:00,Norte,566.58,800.0,1,237.96
134,2026-01-06 14:00:00,Centro-Oeste,762.05,950.0,1,320.06
135,2026-01-06 15:00:00,Sudeste,1071.75,1450.0,5,450.13
136,2026-01-06 16:00:00,Sul,860.65,1050.0,2,361.47
137,2026-01-06 17:00:00,Nordeste,921.46,1200.0,4,387.01
138,2026-01-06 18:00:00,Norte,641.84,800.0,1,269.57
139,2026-01-06 19:00:00,Centro-Oeste,799.06,950.0,2,335.6
140,2026-01-06 20:00:00,Sudeste,1237.65,1450.0,5,519.81
141,2026-01-06 21:00:00,Sul,744.61,1050.0,2,312.73
142,2026-01-06 22:00:00,Nordeste,787.33,1200.0,3,330.68
143,2026-01-06 23:00:00,Norte,433.6,800.0,4,182.11
144,2026-01-07 00:00:00,Centro-Oeste,485.97,950.0,2,204.11
145,2026-01-07 01:00:00,Sudeste,631.18,1450.0,5,265.1
146,2026-01-07 02:00:00,Sul,459.42,1050.0,4,192.96
147,2026-01-07 03:00:00,Nordeste,514.69,1200.0,3,216.17
148,2026-01-07 04:00:00,Norte,324.52,800.0,2,136.3
149,2026-01-07 05:00:00,Centro-Oeste,380.92,950.0,1,159.99
150,2026-01-07 06:00:00,Sudeste,715.36,1450.0,5,300.45
151,2026-01-07 07:00:00,Sul,569.52,1050.0,4,239.2
152,2026-01-07 08:00:00,Nordeste,781.16,1200.0,4,328.09
153,2026-01-07 09:00:00,Norte,506.6,800.0,2,212.77
154,2026-01-07 10:00:00,Centro-Oeste,630.99,950.0,4,265.01
155,2026-01-07 11:00:00,Sudeste,1126.53,1450.0,5,473.14
156,2026-01-07 12:00:00,Sul,762.83,1050.0,3,320.39
157,2026-01-07 13:00:00,Nordeste,919.56,1200.0,3,386.22
158,2026-01-07 14:00:00,Norte,566.51,800.0,2,237.93
159,2026-01-07 15:00:00,Centro-Oeste,769.81,950.0,3,323.32
160,2026-01-07 16:00:00,Sudeste,1063.12,1450.0,5,446.51
161,2026-01-07 17:00:00,Sul,795.0,1050.0,3,333.9
162,2026-01-07 18:00:00,Nordeste,1067.9,1200.0,2,448.52
163,2026-01-07 19:00:00,Norte,681.95,800.0,4,286.42
164,2026-01-07 20:00:00,Centro-Oeste,822.25,950.0,1,345.34
165,2026-01-07 21:00:00,Sudeste,1142.88,1450.0,5,480.01
166,2026-01-07 22:00:00,Sul,728.42,1050.0,3,305.94
167,2026-01-07 23:00:00,Nordeste,650.5,1200.0,2,273.21
168,2026-01-08 00:00:00,Norte,376.81,800.0,2,158.26
169,2026-01-08 01:00:00,Centro-Oeste,445.87,950.0,4,187.26
170,2026-01-08 02:00:00,Sudeste,643.68,1450.0,5,270.35
171,2026-01-08 03:00:00,Sul,401.37,1050.0,3,168.58
172,2026-01-08 04:00:00,Nordeste,480.22,1200.0,3,201.69
173,2026-01-08 05:00:00,Norte,333.79,800.0,4,140.19
174,2026-01-08 06:00:00,Centro-Oeste,487.35,950.0,1,204.69
175,2026-01-08 07:00:00,Sudeste,819.31,1450.0,5,344.11
176,2026-01-08 08:00:00,Sul,638.83,1050.0,2,268.31
177,2026-01-08 09:00:00,Nordeste,767.1,1200.0,2,322.18
178,2026-01-08 10:00:00,Norte,558.58,800.0,2,234.6
179,2026-01-08 11:00:00,Centro-Oeste,641.68,950.0,2,269.51
180,2026-01-08 12:00:00,Sudeste,1129.65,1450.0,5,474.45
181,2026-01-08 13:00:00,Sul,828.27,1050.0,4,347.87
182,2026-01-08 14:00:00,Nordeste,924.55,1200.0,2,388.31
183,2026-01-08 15:00:00,Norte,665.64,800.0,3,279.57
184,2026-01-08 16:00:00,Centro-Oeste,696.91,950.0,2,292.7
185,2026-01-08 17:00:00,Sudeste,1160.22,1450.0,5,487.29
186,2026-01-08 18:00:00,Sul,853.75,1050.0,4,358.57
187,2026-01-08 19:00:00,Nordeste,1083.0,1200.0,2,454.86
188,2026-01-08 20:00:00,Norte,638.09,800.0,2,268.0
189,2026-01-08 21:00:00,Centro-Oeste,677.72,950.0,2,284.64
190,2026-01-08 22:00:00,Sudeste,900.18,1450.0,5,378.08
191,2026-01-08 23:00:00,Sul,628.84,1050.0,4,264.11
192,2026-01-09 00:00:00,Nordeste,617.61,1200.0,1,259.4
193,2026-01-09 01:00:00,Norte,343.39,800.0,3,144.22
194,2026-01-09 02:00:00,Centro-Oeste,412.91,950.0,1,173.42
195,2026-01-09 03:00:00,Sudeste,563.86,1450.0,5,236.82
196,2026-01-09 04:00:00,Sul,425.91,1050.0,4,178.88
197,2026-01-09 05:00:00,Nordeste,539.55,1200.0,3,226.61
198,2026-01-09 06:00:00,Norte,371.34,800.0,4,155.96
199,2026-01-09 07:00:00,Centro-Oeste,551.44,950.0,2,231.61
200,2026-01-09 08:00:00,Sudeste,905.13,1450.0,5,380.16
201,2026-01-09 09:00:00,Sul,696.48,1050.0,2,292.52
202,2026-01-09 10:00:00,Nordeste,794.2,1200.0,3,333.57
203,2026-01-09 11:00:00,Norte,536.93,800.0,4,225.51
204,2026-01-09 12:00:00,Centro-Oeste,708.82,950.0,2,297.7
205,2026-01-09 13:00:00,Sudeste,1122.09,1450.0,5,471.28
206,2026-01-09 14:00:00,Sul,762.03,1050.0,4,320.05
207,2026-01-09 15:00:00,Nordeste,995.87,1200.0,3,418.26
208,2026-01-09 16:00:00,Norte,630.08,800.0,3,264.63
209,2026-01-09 17:00:00,Centro-Oeste,819.93,950.0,3,344.37
210,2026-01-09 18:00:00,Sudeste,1251.29,1450.0,5,525.54
211,2026-01-09 19:00:00,Sul,861.07,1050.0,1,361.65
212,2026-01-09 20:00:00,Nordeste,1026.35,1200.0,1,431.07
213,2026-01-09 21:00:00,Norte,543.58,800.0,2,228.3
214,2026-01-09 22:00:00,Centro-Oeste,615.72,950.0,1,258.6
215,2026-01-09 23:00:00,Sudeste,841.57,1450.0,5,353.46
216,2026-01-10 00:00:00,Sul,492.13,1050.0,3,206.69
217,2026-01-10 01:00:00,Nordeste,578.46,1200.0,4,242.95
218,2026-01-10 02:00:00,Norte,354.13,800.0,4,148.73
219,2026-01-10 03:00:00,Centro-Oeste,382.28,950.0,3,160.56
220,2026-01-10 04:00:00,Sudeste,546.39,1450.0,5,229.49
221,2026-01-10 05:00:00,Sul,424.61,1050.0,4,178.34
222,2026-01-10 06:00:00,Nordeste,575.99,1200.0,2,241.92
223,2026-01-10 07:00:00,Norte,479.36,800.0,1,201.33
224,2026-01-10 08:00:00,Centro-Oeste,580.7,950.0,3,243.89
225,2026-01-10 09:00:00,Sudeste,966.56,1450.0,5,405.95
226,2026-01-10 10:00:00,Sul,722.79,1050.0,3,303.57
227,2026-01-10 11:00:00,Nordeste,890.38,1200.0,2,373.96
228,2026-01-10 12:00:00,Norte,616.8,800.0,1,259.05
229,2026-01-10 13:00:00,Centro-Oeste,687.58,950.0,3,288.78
230,2026-01-10 14:00:00,Sudeste,1140.31,1450.0,5,478.93
231,2026-01-10 15:00:00,Sul,815.28,1050.0,2,342.42
232,2026-01-10 16:00:00,Nordeste,1022.57,1200.0,1,429.48
233,2026-01-10 17:00:00,Norte,658.35,800.0,1,276.51
234,2026-01-10 18:00:00,Centro-Oeste,808.69,950.0,4,339.65
235,2026-01-10 19:00:00,Sudeste,1176.7,1450.0,5,494.21
236,2026-01-10 20:00:00,Sul,834.37,1050.0,4,350.43
237,2026-01-10 21:00:00,Nordeste,905.08,1200.0,3,380.13
238,2026-01-10 22:00:00,Norte,512.27,800.0,4,215.15
239,2026-01-10 23:00:00,Centro-Oeste,526.73,950.0,1,221.23
240,2026-01-11 00:00:00,Sudeste,669.52,1450.0,5,281.2
241,2026-01-11 01:00:00,Sul,447.18,1050.0,1,187.81
242,2026-01-11 02:00:00,Nordeste,482.98,1200.0,3,202.85
243,2026-01-11 03:00:00,Norte,292.66,800.0,1,122.92
244,2026-01-11 04:00:00,Centro-Oeste,379.49,950.0,3,159.39
245,2026-01-11 05:00:00,Sudeste,646.82,1450.0,5,271.67
246,2026-01-11 06:00:00,Sul,520.65,1050.0,1,218.67
247,2026-01-11 07:00:00,Nordeste,708.81,1200.0,2,297.7
248,2026-01-11 08:00:00,Norte,491.33,800.0,4,206.36
249,2026-01-11 09:00:00,Centro-Oeste,596.43,950.0,2,250.5
250,2026-01-11 10:00:00,Sudeste,1060.04,1450.0,5,445.21
251,2026-01-11 11:00:00,Sul,728.34,1050.0,3,305.9
252,2026-01-11 12:00:00,Nordeste,909.28,1200.0,3,381.9
253,2026-01-11 13:00:00,Norte,586.45,800.0,2,246.31
254,2026-01-11 14:00:00,Centro-Oeste,780.86,950.0,4,327.96
255,2026-01-11 15:00:00,Sudeste,1174.11,1450.0,5,493.13
256,2026-01-11 16:00:00,Sul,845.6,1050.0,3,355.15
257,2026-01-11 17:00:00,Nordeste,1031.73,1200.0,1,433.33
258,2026-01-11 18:00:00,Norte,680.42,800.0,1,285.78
259,2026-01-11 19:00:00,Centro-Oeste,783.79,950.0,1,329.19
260,2026-01-11 20:00:00,Sudeste,1215.25,1450.0,5,510.4
261,2026-01-11 21:00:00,Sul,777.97,1050.0,1,326.75
262,2026-01-11 22:00:00,Nordeste,845.24,1200.0,1,355.0
263,2026-01-11 23:00:00,Norte,487.95,800.0,1,204.94
264,2026-01-12 00:00:00,Centro-Oeste,480.0,950.0,4,201.6
265,2026-01-12 01:00:00,Sudeste,626.76,1450.0,5,263.24
266,2026-01-12 02:00:00,Sul,440.63,1050.0,4,185.07
267,2026-01-12 03:00:00,Nordeste,517.98,1200.0,2,217.55
268,2026-01-12 04:00:00,Norte,332.49,800.0,2,139.65
269,2026-01-12 05:00:00,Centro-Oeste,395.65,950.0,1,166.17
270,2026-01-12 06:00:00,Sudeste,705.69,1450.0,5,296.39
271,2026-01-12 07:00:00,Sul,577.49,1050.0,3,242.54
272,2026-01-12 08:00:00,Nordeste,736.9,1200.0,1,309.5
273,2026-01-12 09:00:00,Norte,495.83,800.0,2,208.25
274,2026-01-12 10:00:00,Centro-Oeste,625.88,950.0,4,262.87
275,2026-01-12 11:00:00,Sudeste,1141.8,1450.0,5,479.56
276,2026-01-12 12:00:00,Sul,740.04,1050.0,4,310.82
277,2026-01-12 13:00:00,Nordeste,899.96,1200.0,4,377.98
278,2026-01-12 14:00:00,Norte,625.58,800.0,1,262.74
279,2026-01-12 15:00:00,Centro-Oeste,787.09,950.0,2,330.58
280,2026-01-12 16:00:00,Sudeste,1069.56,1450.0,5,449.21
281,2026-01-12 17:00:00,Sul,877.72,1050.0,1,368.64
282,2026-01-12 18:00:00,Nordeste,1090.25,1200.0,2,457.91
283,2026-01-12 19:00:00,Norte,672.85,800.0,3,282.6
284,2026-01-12 20:00:00,Centro-Oeste,811.71,950.0,3,340.92
285,2026-01-12 21:00:00,Sudeste,1056.22,1450.0,5,443.61
286,2026-01-12 22:00:00,Sul,647.18,1050.0,3,271.81
287,2026-01-12 23:00:00,Nordeste,670.49,1200.0,2,281.61
288,2026-01-13 00:00:00,Norte,376.72,800.0,4,158.22
289,2026-01-13 01:00:00,Centro-Oeste,414.43,950.0,3,174.06
290,2026-01-13 02:00:00,Sudeste,608.53,1450.0,5,255.58
291,2026-01-13 03:00:00,Sul,445.91,1050.0,4,187.28
292,2026-01-13 04:00:00,Nordeste,462.84,1200.0,2,194.39
293,2026-01-13 05:00:00,Norte,367.02,800.0,4,154.15
294,2026-01-13 06:00:00,Centro-Oeste,500.45,950.0,2,210.19
295,2026-01-13 07:00:00,Sudeste,876.91,1450.0,5,368.3
296,2026-01-13 08:00:00,Sul,605.6,1050.0,2,254.35
297,2026-01-13 09:00:00,Nordeste,840.51,1200.0,4,353.01
298,2026-01-13 10:00:00,Norte,532.03,800.0,4,223.45
299,2026-01-13 11:00:00,Centro-Oeste,690.93,950.0,4,290.19
300,2026-01-13 12:00:00,Sudeste,1057.83,1450.0,5,444.29
301,2026-01-13 13:00:00,Sul,823.92,1050.0,3,346.05
302,2026-01-13 14:00:00,Nordeste,999.92,1200.0,2,419.97
303,2026-01-13 15:00:00,Norte,631.5,800.0,3,265.23
304,2026-01-13 16:00:00,Centro-Oeste,713.5,950.0,4,299.67
305,2026-01-13 17:00:00,Sudeste,1220.66,1450.0,5,512.68
306,2026-01-13 18:00:00,Sul,864.57,1050.0,1,363.12
307,2026-01-13 19:00:00,Nordeste,1041.17,1200.0,2,437.29
308,2026-01-13 20:00:00,Norte,608.49,800.0,1,255.57
309,2026-01-13 21:00:00,Centro-Oeste,754.65,950.0,2,316.95
310,2026-01-13 22:00:00,Sudeste,877.12,1450.0,5,368.39
311,2026-01-13 23:00:00,Sul,625.89,1050.0,4,262.87
312,2026-01-14 00:00:00,Nordeste,656.59,1200.0,4,275.77
313,2026-01-14 01:00:00,Norte,368.83,800.0,3,154.91
314,2026-01-14 02:00:00,Centro-Oeste,374.7,950.0,2,157.37
315,2026-01-14 03:00:00,Sudeste,551.32,1450.0,5,231.55
316,2026-01-14 04:00:00,Sul,448.01,1050.0,2,188.16
317,2026-01-14 05:00:00,Nordeste,531.68,1200.0,2,223.3
318,2026-01-14 06:00:00,Norte,367.54,800.0,2,154.37
319,2026-01-14 07:00:00,Centro-Oeste,507.46,950.0,3,213.13
320,2026-01-14 08:00:00,Sudeste,847.19,1450.0,5,355.82
321,2026-01-14 09:00:00,Sul,672.96,1050.0,3,282.64
322,2026-01-14 10:00:00,Nordeste,878.57,1200.0,4,369.0
323,2026-01-14 11:00:00,Norte,596.19,800.0,2,250.4
324,2026-01-14 12:00:00,Centro-Oeste,720.38,950.0,4,302.56
325,2026-01-14 13:00:00,Sudeste,1055.06,1450.0,5,443.12
326,2026-01-14 14:00:00,Sul,754.87,1050.0,3,317.05
327,2026-01-14 15:00:00,Nordeste,898.37,1200.0,2,377.32
328,2026-01-14 16:00:00,Norte,618.59,800.0,4,259.81
329,2026-01-14 17:00:00,Centro-Oeste,823.15,950.0,3,345.72
330,2026-01-14 18:00:00,Sudeste,1307.28,1450.0,5,549.06
331,2026-01-14 19:00:00,Sul,862.34,1050.0,1,362.18
332,2026-01-14 20:00:00,Nordeste,988.64,1200.0,2,415.23
333,2026-01-14 21:00:00,Norte,639.68,800.0,2,268.67
334,2026-01-14 22:00:00,Centro-Oeste,585.79,950.0,3,246.03
335,2026-01-14 23:00:00,Sudeste,789.32,1450.0,5,331.51
336,2026-01-15 00:00:00,Sul,516.91,1050.0,1,217.1
337,2026-01-15 01:00:00,Nordeste,569.16,1200.0,1,239.05
338,2026-01-15 02:00:00,Norte,360.75,800.0,2,151.52
339,2026-01-15 03:00:00,Centro-Oeste,392.64,950.0,3,164.91
340,2026-01-15 04:00:00,Sudeste,604.67,1450.0,5,253.96
341,2026-01-15 05:00:00,Sul,460.51,1050.0,3,193.42
342,2026-01-15 06:00:00,Nordeste,615.97,1200.0,1,258.71
343,2026-01-15 07:00:00,Norte,429.11,800.0,3,180.23
344,2026-01-15 08:00:00,Centro-Oeste,592.03,950.0,4,248.65
345,2026-01-15 09:00:00,Sudeste,980.96,1450.0,5,412.01
346,2026-01-15 10:00:00,Sul,733.35,1050.0,3,308.01
347,2026-01-15 11:00:00,Nordeste,868.04,1200.0,1,364.58
348,2026-01-15 12:00:00,Norte,591.88,800.0,2,248.59
349,2026-01-15 13:00:00,Centro-Oeste,777.51,950.0,4,326.55
350,2026-01-15 14:00:00,Sudeste,1073.12,1450.0,5,450.71
351,2026-01-15 15:00:00,Sul,866.99,1050.0,3,364.14
352,2026-01-15 16:00:00,Nordeste,939.6,1200.0,4,394.63
353,2026-01-15 17:00:00,Norte,626.73,800.0,1,263.22
354,2026-01-15 18:00:00,Centro-Oeste,853.74,950.0,4,358.57
355,2026-01-15 19:00:00,Sudeste,1302.9,1450.0,5,547.22
356,2026-01-15 20:00:00,Sul,897.54,1050.0,3,376.97
357,2026-01-15 21:00:00,Nordeste,930.04,1200.0,2,390.62
358,2026-01-15 22:00:00,Norte,552.72,800.0,1,232.14
359,2026-01-15 23:00:00,Centro-Oeste,528.76,950.0,2,222.08
360,2026-01-16 00:00:00,Sudeste,722.36,1450.0,5,303.39
361,2026-01-16 01:00:00,Sul,491.59,1050.0,4,206.47
362,2026-01-16 02:00:00,Nordeste,507.97,1200.0,4,213.35
363,2026-01-16 03:00:00,Norte,343.62,800.0,1,144.32
364,2026-01-16 04:00:00,Centro-Oeste,358.2,950.0,1,150.44
365,2026-01-16 05:00:00,Sudeste,616.15,1450.0,5,258.78
366,2026-01-16 06:00:00,Sul,493.98,1050.0,1,207.47
367,2026-01-16 07:00:00,Nordeste,722.63,1200.0,3,303.5
368,2026-01-16 08:00:00,Norte,485.83,800.0,1,204.05
369,2026-01-16 09:00:00,Centro-Oeste,654.18,950.0,1,274.76
370,2026-01-16 10:00:00,Sudeste,1030.46,1450.0,5,432.8
371,2026-01-16 11:00:00,Sul,806.4,1050.0,1,338.69
372,2026-01-16 12:00:00,Nordeste,947.99,1200.0,3,398.16
373,2026-01-16 13:00:00,Norte,635.84,800.0,1,267.05
374,2026-01-16 14:00:00,Centro-Oeste,772.36,950.0,2,324.39
375,2026-01-16 15:00:00,Sudeste,1119.19,1450.0,5,470.06
376,2026-01-16 16:00:00,Sul,829.38,1050.0,3,348.34
377,2026-01-16 17:00:00,Nordeste,996.55,1200.0,2,418.55
378,2026-01-16 18:00:00,Norte,699.81,800.0,2,293.92
379,2026-01-16 19:00:00,Centro-Oeste,823.38,950.0,3,345.82
380,2026-01-16 20:00:00,Sudeste,1113.3,1450.0,5,467.58
381,2026-01-16 21:00:00,Sul,801.86,1050.0,1,336.78
382,2026-01-16 22:00:00,Nordeste,822.13,1200.0,2,345.29
383,2026-01-16 23:00:00,Norte,463.64,800.0,3,194.73
384,2026-01-17 00:00:00,Centro-Oeste,496.38,950.0,2,208.48
385,2026-01-17 01:00:00,Sudeste,703.79,1450.0,5,295.59
386,2026-01-17 02:00:00,Sul,449.1,1050.0,1,188.62
387,2026-01-17 03:00:00,Nordeste,525.69,1200.0,3,220.79
388,2026-01-17 04:00:00,Norte,328.39,800.0,3,137.92
389,2026-01-17 05:00:00,Centro-Oeste,390.3,950.0,4,163.93
390,2026-01-17 06:00:00,Sudeste,743.43,1450.0,5,312.24
391,2026-01-17 07:00:00,Sul,630.82,1050.0,4,264.95
